School Name,State Name [Public School] Latest available year,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Black Students [Public School] 2018-19,White Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Total Race/Ethnicity [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,Latitude [Public School] 2018-19,Longitude [Public School] 2018-19,CSA ID [District] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19
STONEMAN ELEMENTARY,California,Contra Costa County,="06013",309,289,–,70,273,165,29,8,53,598,29.00,20.62,38.004151,-121.870842,488,598,388,65,453
STONER AVENUE ELEMENTARY,California,Los Angeles County,="06037",150,112,–,5,239,9,8,–,1,262,16.00,16.38,33.995097,-118.413344,348,262,235,7,242
STONERIDGE ELEMENTARY,California,Placer County,="06061",327,315,2,106,101,12,360,4,57,642,24.00,26.75,38.759941,-121.232873,472,642,74,8,82
STONEY POINT CONTINUATION,California,Los Angeles County,="06037",50,41,–,4,68,8,11,–,–,91,5.50,16.55,34.251997,-118.588129,348,91,74,6,80
STOWERS(CECIL B.) ELEMENTARY,California,Los Angeles County,="06037",336,334,2,338,210,36,49,3,32,670,25.00,26.80,33.875709,-118.047841,348,670,152,48,200
STRANDWOOD ELEMENTARY,California,Contra Costa County,="06013",308,314,–,55,107,3,329,3,125,622,25.50,24.39,37.950386,-122.077361,488,622,83,9,92
STRATFORD ELEMENTARY,California,Kings County,="06031",149,149,8,5,252,2,21,3,7,298,18.00,16.56,36.192340,-119.822481,546,298,215,24,239
STRATHERN STREET ELEMENTARY,California,Los Angeles County,="06037",281,268,–,27,460,4,57,1,–,549,23.00,23.87,34.215028,-118.400187,348,549,447,30,477
STRATHMORE COMMUNITY DAY,California,Tulare County,="06107",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,†,36.151849,-119.058155,546,="0",–,–,–
STRATHMORE ELEMENTARY,California,Tulare County,="06107",383,396,14,–,704,–,55,–,6,779,35.00,22.26,36.149763,-119.061134,546,779,698,45,743
STRATHMORE HIGH,California,Tulare County,="06107",234,169,1,2,348,–,45,1,6,403,18.37,21.94,36.144986,-119.065544,546,403,298,="0",298
STRAWBERRY ELEMENTARY,California,Sonoma County,="06097",208,189,2,17,80,6,257,4,31,397,15.00,26.47,38.434377,-122.661876,488,397,85,7,92
STRAWBERRY POINT ELEMENTARY,California,Marin County,="06041",170,157,2,30,37,5,212,2,39,327,15.00,21.80,37.896308,-122.504707,488,327,32,4,36
STREAM CHARTER,CALIFORNIA,Butte County,="06007",133,139,10,18,32,4,159,–,49,272,10.23,26.59,39.497611,-121.570668,†,272,112,17,129
STREET ACADEMY (ALTERNATIVE),California,Alameda County,="06001",39,68,–,3,46,50,3,–,5,107,4.50,23.78,37.818161,-122.265649,488,107,90,2,92
STROBRIDGE ELEMENTARY,California,Alameda County,="06001",244,248,1,30,335,61,31,10,24,492,19.20,25.63,37.687794,-122.088408,488,492,324,27,351
STUART MESA ELEMENTARY,California,San Diego County,="06073",333,295,3,20,246,61,222,8,68,628,27.83,22.57,33.253798,-117.408202,†,628,158,131,289
STUDEBAKER ELEMENTARY,California,Los Angeles County,="06037",242,227,–,16,417,5,25,–,6,469,20.11,23.32,33.925019,-118.100737,348,469,233,72,305
STUDIO,California,Los Angeles County,="06037",124,113,–,5,221,1,10,–,–,237,11.00,21.55,34.102505,-118.238968,348,237,201,17,218
SUCCESS ACADEMY,California,Sacramento County,="06067",22,1,–,1,9,11,1,–,1,23,4.50,5.11,38.487037,-121.486706,472,23,23,="0",23
SUCCESS LEARNING CENTER,CALIFORNIA,Los Angeles County,="06037",12,11,="0",1,7,3,11,="0",1,23,3.00,7.67,33.908026,-118.378282,348,23,8,="0",8
SUCCESS ONE!,CALIFORNIA,Glenn County,="06021",28,50,2,2,43,–,26,–,5,78,4.01,19.45,39.747936,-122.183348,†,78,40,1,41
SUGAR HILL ELEMENTARY,California,Riverside County,="06065",275,268,1,8,341,93,62,–,38,543,22.50,24.13,33.965888,-117.236596,348,543,358,70,428
SUGARLOAF MOUNTAIN JUVENILE HALL PROGRAM,California,Nevada County,="06057",3,1,="0",="0",1,="0",3,="0",="0",4,1.00,4.00,39.265820,-121.032446,472,4,‡,‡,‡
SUISUN ELEMENTARY,California,Solano County,="06095",267,250,2,71,206,108,60,1,69,517,20.00,25.85,38.248680,-122.011900,488,517,288,57,345
SUISUN VALLEY ELEMENTARY,California,Solano County,="06095",322,275,3,65,181,53,244,–,51,597,18.50,32.27,38.288713,-122.116653,488,597,155,44,199
SULPHUR SPRINGS COMMUNITY ELEMENTARY,California,Los Angeles County,="06037",342,287,–,65,249,33,248,–,34,629,25.00,25.16,34.419192,-118.426489,348,629,176,32,208
SULPHUR SPRINGS SPECIAL EDUCATION CONSORTIA,CALIFORNIA,Los Angeles County,="06037",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,†,34.407920,-118.467073,348,="0",–,–,–
SULTANA ELEMENTARY,California,San Bernardino County,="06071",358,322,5,10,634,13,12,3,3,680,35.00,19.43,34.040107,-117.644925,348,680,549,84,633
SULTANA HIGH,California,San Bernardino County,="06071",960,912,14,18,1207,100,510,6,17,1872,85.95,21.78,34.410439,-117.286701,348,1872,1167,125,1292
SUMAC ELEMENTARY,California,Los Angeles County,="06037",190,194,–,14,165,11,174,–,20,384,19.45,19.74,34.161383,-118.755598,348,384,104,15,119
SUMMER LAKE ELEMENTARY,CALIFORNIA,Contra Costa County,="06013",†,†,†,†,†,†,†,†,†,†,†,†,37.984909,-121.627505,488,†,†,†,†
SUMMERDALE ELEMENTARY,California,Santa Clara County,="06085",211,192,–,254,110,5,12,3,19,403,16.00,25.19,37.390176,-121.851067,488,403,108,30,138
SUMMERLAND ELEMENTARY,California,Santa Barbara County,="06083",28,25,–,1,8,–,40,–,4,53,3.00,17.67,34.421552,-119.597474,†,53,5,1,6
SUMMERVILLE ELEMENTARY,California,Tuolumne County,="06109",206,203,34,–,63,3,267,1,41,409,19.50,20.97,37.956755,-120.235819,†,409,170,17,187
SUMMERVILLE HIGH,California,Tuolumne County,="06109",217,159,16,2,56,6,272,2,22,376,25.85,14.55,37.961514,-120.255415,†,376,141,23,164
SUMMERWIND ELEMENTARY,California,Los Angeles County,="06037",370,361,4,28,493,126,55,1,24,731,27.51,26.57,34.597103,-118.157253,348,731,551,47,598
SUMMIT CHARTER ACADEMY,California,Tulare County,="06107",1046,1125,33,47,1601,12,435,–,43,2171,93.35,23.26,36.062617,-119.062280,546,2171,1163,208,1371
SUMMIT ELEMENTARY,CALIFORNIA,Riverside County,="06065",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,†,33.935580,-117.481331,348,="0",–,–,–
SUMMIT HIGH,California,San Bernardino County,="06071",1280,1218,1,169,1871,220,197,5,35,2498,109.68,22.78,34.148459,-117.465123,348,2498,1273,380,1653
SUMMIT HIGH (CONTINUATION),California,Riverside County,="06065",176,128,1,4,229,9,53,1,7,304,12.30,24.72,33.731792,-116.301175,348,304,192,21,213
SUMMIT HIGH (CONTINUATION),California,Contra Costa County,="06013",82,35,="0",6,69,5,30,4,3,117,6.55,17.86,37.977791,-121.988325,488,117,61,5,66
SUMMIT INTERMEDIATE,California,San Bernardino County,="06071",571,545,4,134,503,124,295,2,54,1116,42.80,26.07,34.143981,-117.512475,348,1116,331,63,394
SUMMIT LEADERSHIP ACADEMY-HIGH DESERT,CALIFORNIA,San Bernardino County,="06071",194,110,3,1,214,33,38,1,14,304,22.73,13.37,34.412835,-117.382453,348,304,219,17,236
SUMMIT PREPARATORY CHARTER,CALIFORNIA,Los Angeles County,="06037",127,128,–,–,240,13,–,–,2,255,12.00,21.25,33.990895,-118.264430,348,255,229,10,239
SUMMIT PREPARATORY CHARTER HIGH,CALIFORNIA,San Mateo County,="06081",254,200,2,19,311,1,68,6,47,454,21.00,21.62,37.486770,-122.210301,488,454,179,62,241
SUMMIT PUBLIC SCHOOL K2,CALIFORNIA,Contra Costa County,="06013",283,250,2,59,255,94,49,="0",74,533,21.67,24.60,37.925961,-122.313368,488,533,255,67,322
SUMMIT PUBLIC SCHOOL: DENALI,CALIFORNIA,Santa Clara County,="06085",344,231,3,124,174,5,193,3,73,575,32.67,17.60,37.397160,-122.015451,488,575,91,33,124
SUMMIT PUBLIC SCHOOL: RAINIER,CALIFORNIA,Santa Clara County,="06085",195,167,1,72,213,7,24,–,45,362,25.00,14.48,37.346058,-121.806249,488,362,140,28,168
SUMMIT PUBLIC SCHOOL: SHASTA,CALIFORNIA,San Mateo County,="06081",272,219,–,165,118,10,88,10,100,491,24.20,20.29,37.666529,-122.476393,488,491,67,23,90
SUMMIT PUBLIC SCHOOL: TAHOMA,CALIFORNIA,Santa Clara County,="06085",192,187,2,59,168,12,82,1,55,379,24.20,15.66,37.253320,-121.819895,488,379,107,24,131
SUMMIT PUBLIC SCHOOL: TAMALPAIS,CALIFORNIA,Contra Costa County,="06013",181,171,1,49,198,52,15,="0",37,352,14.80,23.78,37.977780,-122.327191,488,352,178,37,215
SUMMIT SECONDARY,CALIFORNIA,Riverside County,="06065",3,="0",="0",="0",3,="0",="0",="0",="0",3,="0.33",9.09,33.935580,-117.481331,348,3,‡,‡,‡
SUMMIT VIEW INDEPENDENT STUDY,California,Riverside County,="06065",125,128,1,3,145,13,83,1,7,253,9.15,27.65,33.940456,-117.380130,348,253,129,12,141
SUMNER ELEMENTARY,California,Los Angeles County,="06037",274,211,2,24,257,23,151,–,28,485,20.00,24.25,34.116521,-117.741664,348,485,230,12,242
SUN EMPIRE ELEMENTARY,California,Fresno County,="06019",292,321,5,12,517,1,77,–,1,613,24.00,25.54,36.773560,-120.087733,260,613,464,29,493
SUN TERRACE ELEMENTARY,California,Contra Costa County,="06013",234,222,–,22,269,14,61,8,82,456,19.50,23.38,38.000659,-122.029621,488,456,290,28,318
SUN VALLEY ELEMENTARY,California,Marin County,="06041",256,245,4,27,99,5,337,1,28,501,21.60,23.19,37.985098,-122.551190,488,501,79,12,91
SUN VALLEY HIGH,California,Los Angeles County,="06037",229,154,1,4,359,11,5,1,2,383,22.33,17.15,34.235666,-118.396665,348,383,324,23,347
SUN VALLEY MAGNET,California,Los Angeles County,="06037",773,739,–,25,1405,23,58,1,–,1512,71.84,21.05,34.203991,-118.377576,348,1512,1325,60,1385
SUN VIEW ELEMENTARY,California,Orange County,="06059",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",–,†,33.725319,-117.994032,348,="0",–,–,–
SUNDALE ELEMENTARY,California,Tulare County,="06107",432,394,5,6,403,2,400,1,9,826,32.00,25.81,36.226552,-119.260947,546,826,329,47,376
SUNDANCE ELEMENTARY,California,San Diego County,="06073",237,208,3,147,48,4,177,3,63,445,18.00,24.72,32.960753,-117.134598,†,445,59,14,73
SUNDANCE ELEMENTARY,California,Riverside County,="06065",447,365,4,43,435,78,228,4,20,812,32.00,25.38,33.933173,-116.953915,348,812,392,83,475
SUNDOWN ELEMENTARY,California,Los Angeles County,="06037",482,493,–,26,462,141,279,–,67,975,36.00,27.08,34.682675,-118.240428,348,975,457,65,522
SUNFLOWER ELEMENTARY,California,Imperial County,="06025",242,194,1,3,414,1,13,–,4,436,–,†,32.793562,-115.583529,†,436,271,55,326
SUNKIST ELEMENTARY,California,Los Angeles County,="06037",228,229,–,29,422,2,4,–,–,457,17.50,26.11,34.056501,-117.975296,348,457,374,42,416
SUNKIST ELEMENTARY,California,Orange County,="06059",380,318,–,21,626,8,29,1,13,698,24.30,28.72,33.817085,-117.952479,348,698,548,64,612
SUNKIST ELEMENTARY,California,Ventura County,="06111",266,321,2,6,558,="0",12,1,8,587,28.00,20.96,34.169974,-119.193898,348,587,415,63,478
SUNLAND ELEMENTARY,California,Los Angeles County,="06037",197,211,1,37,243,5,121,1,–,408,18.00,22.67,34.262776,-118.314742,348,408,280,35,315
SUNNY BRAE AVENUE ELEMENTARY,California,Los Angeles County,="06037",281,240,–,24,447,11,39,–,–,521,23.00,22.65,34.212639,-118.582238,348,521,426,27,453
SUNNY BRAE MIDDLE,California,Humboldt County,="06023",104,126,11,6,28,4,149,1,31,230,13.06,17.61,40.856977,-124.067905,†,230,135,5,140
SUNNY HILLS HIGH,California,Orange County,="06059",1160,1144,8,1053,750,31,391,9,62,2304,78.40,29.39,33.884512,-117.953783,348,2304,680,129,809
SUNNY SANDS ELEMENTARY,California,Riverside County,="06065",372,354,4,37,610,10,45,–,20,726,31.00,23.42,33.824063,-116.453408,348,726,549,101,650
SUNNYBRAE ELEMENTARY,California,San Mateo County,="06081",194,206,–,33,275,6,43,19,24,400,17.00,23.53,37.561742,-122.313007,488,400,231,29,260
SUNNYDALE ELEMENTARY,California,Los Angeles County,="06037",320,323,2,18,328,208,61,1,25,643,25.00,25.72,34.682943,-118.153219,348,643,536,61,597
SUNNYMEAD ELEMENTARY,California,Riverside County,="06065",428,366,–,8,652,85,24,6,19,794,32.00,24.81,33.929369,-117.242115,348,794,675,60,735
SUNNYMEAD MIDDLE,California,Riverside County,="06065",755,750,1,28,1210,174,50,17,25,1505,64.40,23.37,33.932972,-117.244486,348,1505,1222,113,1335
SUNNYMEADOWS ELEMENTARY,California,Riverside County,="06065",298,327,1,12,502,65,21,6,18,625,27.00,23.15,33.932293,-117.256966,348,625,485,50,535
SUNNYSIDE ELEMENTARY,California,Orange County,="06059",333,325,–,364,229,6,41,8,10,658,24.00,27.42,33.767976,-117.956295,348,658,373,37,410
SUNNYSIDE ELEMENTARY,California,San Francisco County,="06075",189,194,–,45,70,14,177,4,73,383,16.00,23.94,37.730258,-122.448612,488,383,72,23,95
SUNNYSIDE ELEMENTARY,California,San Diego County,="06073",230,204,1,36,287,10,81,2,17,434,19.79,21.93,32.673590,-117.014240,†,434,124,29,153
SUNNYSIDE ELEMENTARY,California,Tulare County,="06107",180,188,–,2,339,–,27,–,–,368,17.40,21.15,36.146023,-119.088710,546,368,300,3,303
SUNNYSIDE HIGH,California,Fresno County,="06019",1433,1463,14,602,1973,194,85,7,21,2896,122.56,23.63,36.733103,-119.716910,260,2896,1950,672,2622
SUNNYSLOPE ELEMENTARY,California,Riverside County,="06065",419,433,1,10,795,7,28,5,6,852,37.00,23.03,34.015990,-117.439820,348,852,560,60,620
SUNNYSLOPE ELEMENTARY,California,San Diego County,="06073",258,259,1,13,485,5,9,–,4,517,23.00,22.48,32.581000,-117.079559,†,517,348,30,378
SUNNYSLOPE ELEMENTARY,California,San Benito County,="06069",296,276,2,13,493,3,52,–,9,572,25.00,22.88,36.839868,-121.383002,488,572,377,34,411
SUNNYVALE MIDDLE,California,Santa Clara County,="06085",610,601,3,419,315,12,350,3,109,1211,57.00,21.25,37.361578,-122.052648,488,1211,247,52,299
SUNOL GLEN ELEMENTARY,California,Alameda County,="06001",145,152,2,69,52,2,140,2,30,297,14.10,21.06,37.593889,-121.885035,488,297,24,="0",24
SUNRIDGE CHARTER,California,Sonoma County,="06097",123,153,–,4,34,1,208,–,29,276,11.00,25.09,38.393330,-122.822948,488,276,78,1,79
SUNRISE (SPECIAL EDUCATION),California,Contra Costa County,="06013",25,5,="0",="0",11,4,11,="0",4,30,5.20,5.77,37.985280,-122.003200,488,30,18,1,19
SUNRISE ELEMENTARY,California,Sacramento County,="06067",363,369,3,174,104,35,279,3,134,732,30.00,24.40,38.554712,-121.236975,472,732,100,25,125
SUNRISE ELEMENTARY,California,Los Angeles County,="06037",173,162,1,–,326,–,8,–,–,335,17.00,19.71,34.030078,-118.210157,348,335,298,15,313
SUNRISE HIGH (CONTINUATION),California,Kings County,="06031",21,6,="0",="0",27,="0",="0",="0",="0",27,2.00,13.50,36.008816,-120.125446,546,27,22,="0",22
SUNRISE MIDDLE,CALIFORNIA,Santa Clara County,="06085",131,112,1,3,218,1,2,–,18,243,11.00,22.09,37.351096,-121.871870,488,243,185,32,217
SUNRISE PRE-SCHOOL,California,Los Angeles County,="06037",†,†,†,†,†,†,†,†,†,†,–,–,33.801339,-118.364686,348,†,†,†,†
SUNSET,California,Los Angeles County,="06037",13,10,="0",3,16,4,="0",="0",="0",23,3.00,7.67,34.044878,-117.966928,348,23,7,2,9
SUNSET,California,Kern County,="06029",151,150,–,–,297,–,4,–,–,301,15.88,18.95,35.222701,-118.912532,†,301,301,="0",301
SUNSET ELEMENTARY,California,Fresno County,="06019",182,168,1,1,305,27,15,–,1,350,15.00,23.33,36.724218,-119.830166,260,350,210,69,279
SUNSET ELEMENTARY,California,Fresno County,="06019",228,193,1,5,327,8,71,–,9,421,13.63,30.89,36.145888,-120.364389,260,421,316,38,354
SUNSET ELEMENTARY,California,Los Angeles County,="06037",102,102,–,18,183,–,3,–,–,204,8.00,25.50,34.045272,-117.966533,348,204,161,17,178
SUNSET ELEMENTARY,California,Ventura County,="06111",157,176,1,9,158,–,158,–,7,333,14.35,23.21,34.390466,-119.304839,348,333,155,71,226
SUNSET ELEMENTARY,California,Alameda County,="06001",421,350,–,87,135,9,453,–,87,771,29.60,26.05,37.662719,-121.774090,488,771,45,6,51
SUNSET ELEMENTARY,California,San Francisco County,="06075",220,187,–,216,20,2,90,–,79,407,15.50,26.26,37.750680,-122.499629,488,407,78,18,96
SUNSET ELEMENTARY,California,San Diego County,="06073",330,342,–,–,668,4,–,–,–,672,28.00,24.00,32.557562,-117.050211,†,672,541,67,608
SUNSET HIGH,California,Del Norte County,="06015",47,32,13,2,13,3,46,="0",2,79,5.00,15.80,41.809837,-124.153587,†,79,54,3,57
SUNSET HIGH (CONTINUATION),California,San Diego County,="06073",53,49,1,4,28,–,65,2,2,102,8.00,12.75,33.044086,-117.277804,†,102,21,3,24
SUNSET HILLS ELEMENTARY,California,San Diego County,="06073",230,214,–,101,67,10,192,–,74,444,21.60,20.56,32.968320,-117.126701,†,444,51,7,58
SUNSET LANE ELEMENTARY,California,Orange County,="06059",459,396,2,544,176,15,73,–,45,855,27.50,31.09,33.891923,-117.958682,348,855,242,32,274
SUNSET RANCH ELEMENTARY,California,Placer County,="06061",379,379,2,127,92,7,449,–,81,758,29.00,26.14,38.828479,-121.274654,472,758,61,9,70
SUNSET RIDGE ELEMENTARY,California,San Mateo County,="06081",282,257,2,184,181,10,98,3,61,539,22.00,24.50,37.653191,-122.479998,488,539,167,30,197
SUNSET VIEW ELEMENTARY,California,San Diego County,="06073",212,214,–,11,62,1,310,1,41,426,18.00,23.67,32.724331,-117.250259,†,426,52,16,68
SUNSHINE GARDENS ELEMENTARY,California,San Mateo County,="06081",191,169,1,100,200,4,23,10,22,360,16.00,22.50,37.665606,-122.436424,488,360,178,23,201
SUNSHINE SPECIAL EDUCATION,California,Riverside County,="06065",50,24,="0",6,45,6,15,="0",2,74,5.00,14.80,33.927132,-117.448957,348,74,39,12,51
SUPERIOR STREET ELEMENTARY,California,Los Angeles County,="06037",228,254,–,108,242,23,105,3,1,482,21.00,22.95,34.247639,-118.574997,348,482,212,43,255
SURPRISE VALLEY ELEMENTARY,California,Modoc County,="06049",42,45,17,–,12,–,53,1,4,87,4.77,18.24,41.533153,-120.175737,†,87,52,3,55
SURPRISE VALLEY HIGH,California,Modoc County,="06049",10,19,3,1,6,–,17,–,2,29,3.94,7.36,41.527297,-120.178891,†,29,17,="0",17
SUSAN B. ANTHONY ELEMENTARY,California,Fresno County,="06019",257,236,2,44,361,47,27,2,10,493,22.05,22.36,36.756065,-119.791914,260,493,410,63,473
SUSAN B. ANTHONY ELEMENTARY,California,Riverside County,="06065",434,390,4,143,284,45,331,1,16,824,30.00,27.47,33.843174,-117.548732,348,824,177,39,216
SUSAN B. ANTHONY ELEMENTARY,California,Orange County,="06059",192,173,–,230,103,3,19,3,7,365,14.25,25.61,33.740530,-117.950636,348,365,202,38,240
SUSAN B. ANTHONY ELEMENTARY,California,San Mateo County,="06081",244,281,–,164,315,6,21,3,16,525,22.60,23.23,37.689341,-122.457918,488,525,245,72,317
SUSAN B. ANTHONY ELEMENTARY,California,Sacramento County,="06067",167,181,1,244,66,18,7,2,10,348,15.80,22.03,38.472245,-121.467350,472,348,247,44,291
SUSAN H. NELSON,California,Riverside County,="06065",77,170,2,10,87,="0",127,1,20,247,10.90,22.66,33.487698,-117.104091,348,247,58,2,60
SUSAN LA VORGNA ELEMENTARY,California,Riverside County,="06065",468,422,–,66,329,42,369,2,82,890,36.00,24.72,33.604787,-117.104154,348,890,210,41,251
SUSAN MILLER DORSEY SENIOR HIGH,California,Los Angeles County,="06037",501,391,2,3,388,490,9,–,–,892,48.01,18.58,34.022960,-118.347800,348,892,647,31,678
SUSSMAN (EDWARD A.) MIDDLE,California,Los Angeles County,="06037",611,545,3,27,1036,44,32,3,11,1156,46.80,24.70,33.920517,-118.138968,348,1156,725,176,901
SUTHERLAND ELEMENTARY,California,Los Angeles County,="06037",265,263,–,81,227,4,181,2,33,528,21.00,25.14,34.125300,-117.819340,348,528,114,18,132
SUTHERLAND ELEMENTARY,California,San Joaquin County,="06077",200,177,2,159,121,44,13,6,32,377,18.17,20.75,38.034627,-121.305619,488,377,273,19,292
SUTRO ELEMENTARY,California,San Francisco County,="06075",147,115,–,187,18,1,17,1,38,262,12.00,21.83,37.783695,-122.471447,488,262,129,39,168
SUTTER COUNTY SPECIAL EDUCATION,California,Sutter County,="06101",240,80,4,26,137,8,120,1,24,320,33.20,9.64,39.139100,-121.652481,472,320,211,21,232
SUTTER CREEK ELEMENTARY,California,Amador County,="06005",189,196,11,1,66,1,281,–,25,385,15.00,25.67,38.399159,-120.810934,†,385,128,21,149
SUTTER ELEMENTARY,California,Santa Clara County,="06085",223,233,4,165,93,7,140,–,47,456,18.15,25.12,37.333975,-121.986573,488,456,69,21,90
SUTTER ELEMENTARY,California,Contra Costa County,="06013",322,267,5,51,291,80,125,6,31,589,23.00,25.61,37.985011,-121.812708,488,589,311,55,366
SUTTER HIGH,California,Sutter County,="06101",379,358,13,28,183,3,481,–,29,737,31.31,23.54,39.165715,-121.755023,472,737,207,28,235
SUTTER MIDDLE,California,Sacramento County,="06067",581,633,2,208,427,67,392,7,111,1214,47.84,25.38,38.573742,-121.463603,472,1214,417,124,541
SUTTER MIDDLE,California,Sacramento County,="06067",713,741,8,404,158,22,761,9,92,1454,58.00,25.07,38.674335,-121.172199,472,1454,209,30,239
SUTTER PEAK CHARTER ACADEMY,CALIFORNIA,Sutter County,="06101",285,278,3,22,94,34,400,–,10,563,19.90,28.29,39.187386,-121.679156,472,563,130,84,214
SUTTERS MILL,California,El Dorado County,="06017",127,145,6,2,37,2,218,3,4,272,12.00,22.67,38.769433,-120.926947,472,272,71,8,79
SUTTERVILLE ELEMENTARY,California,Sacramento County,="06067",266,234,2,93,156,17,168,3,61,500,20.60,24.27,38.528890,-121.500785,472,500,151,41,192
SUVA ELEMENTARY,California,Los Angeles County,="06037",449,436,3,1,858,3,4,–,16,885,35.00,25.29,33.967144,-118.141785,348,885,687,53,740
SUVA INTERMEDIATE,California,Los Angeles County,="06037",396,412,2,–,795,1,3,1,6,808,26.67,30.30,33.967915,-118.143778,348,808,672,57,729
SUZANNE MIDDLE,California,Los Angeles County,="06037",620,617,–,735,371,11,69,15,36,1237,50.05,24.72,34.025141,-117.850393,348,1237,248,44,292
SVEN LOKRANTZ SPECIAL EDUCATION CENTER,California,Los Angeles County,="06037",26,31,="0",5,33,6,13,="0",="0",57,5.50,10.36,34.203318,-118.556978,348,57,23,6,29
SVUSD VIRTUAL ACADEMY (ALTERNATIVE),California,Orange County,="06059",35,55,1,3,21,2,55,="0",8,90,4.00,22.50,33.621160,-117.682751,348,90,17,="0",17
SWEETWATER COMMUNITY DAY,California,San Diego County,="06073",13,2,="0",2,13,="0",="0",="0",="0",15,3.00,5.00,32.579242,-117.121941,†,15,7,4,11
SWEETWATER HIGH,California,San Diego County,="06073",1369,1267,3,346,2157,34,36,13,47,2636,109.90,23.99,32.659549,-117.093917,†,2636,1793,385,2178
SWEETWATER SECONDARY,CALIFORNIA,San Diego County,="06073",110,120,1,6,195,4,11,–,13,230,7.00,32.86,32.648670,-117.053321,†,230,133,33,166
SWEETWATER SPRINGS ELEMENTARY,California,San Diego County,="06073",247,248,–,32,253,63,102,3,42,495,17.00,29.12,32.730826,-116.974592,†,495,251,53,304
SYBIL N. CROOKHAM ELEMENTARY,California,Merced County,="06047",193,217,5,23,354,1,27,–,–,410,18.00,22.78,37.389962,-120.616768,382,410,373,25,398
SYCAMORE ACADEMY OF SCIENCE AND CULTURAL ARTS,CALIFORNIA,Riverside County,="06065",288,267,4,13,276,10,161,–,91,555,22.00,25.23,33.584844,-117.247328,348,555,213,28,241
SYCAMORE ACADEMY OF SCIENCE AND CULTURAL ARTS - CHINO VALLEY,CALIFORNIA,San Bernardino County,="06071",†,†,†,†,†,†,†,†,†,†,–,–,33.969065,-117.715561,348,†,†,†,†
SYCAMORE CANYON,California,Ventura County,="06111",618,562,8,262,90,8,723,1,88,1180,47.95,24.61,34.173476,-118.973030,348,1180,21,4,25
SYCAMORE CANYON ELEMENTARY,California,San Diego County,="06073",188,165,–,13,89,4,210,–,37,353,14.50,24.34,32.862941,-117.005144,†,353,68,18,86
SYCAMORE CREEK COMMUNITY CHARTER,CALIFORNIA,Orange County,="06059",†,†,†,†,†,†,†,†,†,†,–,–,33.712157,-117.994353,348,†,†,†,†
SYCAMORE ELEMENTARY,California,Ventura County,="06111",201,173,–,20,172,4,162,–,16,374,17.28,21.64,34.276358,-118.739207,348,374,116,32,148
SYCAMORE ELEMENTARY,California,Shasta County,="06089",114,110,14,11,60,13,117,2,7,224,11.00,20.36,40.524117,-122.389461,454,224,178,5,183
SYCAMORE ELEMENTARY,California,San Bernardino County,="06071",229,239,2,25,284,36,94,3,24,468,20.00,23.40,34.111337,-117.666870,348,468,229,40,269
SYCAMORE ELEMENTARY,California,Orange County,="06059",234,189,2,21,362,7,22,–,9,423,18.50,22.86,33.792672,-117.867307,348,423,295,35,330
SYCAMORE ELEMENTARY,California,Los Angeles County,="06037",197,220,2,35,93,7,232,2,46,417,14.80,28.18,34.101879,-117.717631,348,417,68,6,74
SYCAMORE HILLS ELEMENTARY,California,San Bernardino County,="06071",431,384,3,50,648,47,48,3,16,815,32.00,25.47,34.053013,-117.426401,348,815,480,94,574
SYCAMORE JUNIOR HIGH,California,Orange County,="06059",670,667,2,22,1265,8,30,5,5,1337,52.01,25.71,33.845708,-117.893609,348,1337,1092,128,1220
SYCAMORE MIDDLE,California,Butte County,="06007",238,226,–,13,290,3,156,1,1,464,17.10,27.13,39.362362,-121.699616,†,464,302,45,347
SYCAMORE RIDGE,California,San Diego County,="06073",293,290,2,219,95,7,220,1,39,583,25.00,23.32,32.954432,-117.198844,†,583,83,20,103
SYCAMORE ROCKS ELEMENTARY,California,San Bernardino County,="06071",354,333,2,8,312,43,305,4,13,687,28.00,24.54,34.552234,-117.151653,348,687,439,72,511
SYCAMORE VALLEY ACADEMY,CALIFORNIA,Tulare County,="06107",192,175,3,2,163,2,165,1,31,367,13.00,28.23,36.298360,-119.420151,546,367,103,36,139
SYCAMORE VALLEY ELEMENTARY,California,Contra Costa County,="06013",284,289,2,132,51,8,321,2,57,573,21.50,26.65,37.807247,-121.943663,488,573,9,="0",9
